,0
0,-0.8443046200711479
1,-0.898012554075203
2,0.5513792470966076
3,1.0518345606343675
4,0.5201860263309472
5,0.320624588669287
6,-0.1496034401715938
7,-0.1818579950801878
8,-0.3603803103240791
9,-0.3609721134572352
10,-0.7272659970392128
11,-1.0138407075286977
12,-1.2044589452338264
13,-1.4361869981907864
14,-1.158261809320696
15,-1.2674507994935718
16,-0.9330841378765712
17,-0.5593516040283887
18,-0.6972910394489983
19,-0.8175792967363088
20,-0.3589184270164096
21,-0.1684338078281407
22,0.8156674268746846
23,1.1550551761628989
24,1.3931946197995777
25,0.899431916045036
26,0.3270164102024067
27,-0.0137322830748867
28,-0.2003398932065246
29,0.0598164147715587
30,0.0808346505607685
31,-0.4509689450690131
32,-0.5844443939575801
33,-0.9750788362061577
34,-0.6527655418696713
35,0.0032487049490868
36,0.3554558380914501
37,-0.3958722447289531
38,-0.2368931077869809
39,0.0545804577443096
40,0.2757202352880167
41,0.5501604607565149
42,0.6048143434164275
43,0.2800425892337321
44,0.416492280718142
45,0.7527284406514938
46,0.850028539620837
47,0.7618826536681609
48,1.26111388951963
49,0.7693294609202964
50,0.7008086237744159
51,0.6347092459488354
52,0.5227106729059721
53,0.328040829921299
54,0.3060500612892735
55,0.1778400996896992
56,-0.5406866474785277
57,-0.7044927044084514
58,-0.6895459712426858
59,-1.003616191043211
60,-0.3273314974897858
61,-0.3614845126709641
62,-0.7682947746392816
63,-0.4548310649844907
64,-0.4698151590008158
65,-0.7321531768607257
66,-0.8372341743332745
67,-0.5462197289424329
68,-0.5843413947297086
69,-0.6225059409578096
70,-0.4400423221186531
71,0.0451060175217827
72,-0.0630737393496263
73,0.314143297154938
74,0.2511783215644054
75,0.2261821294995892
76,-0.1295154058227299
77,-0.4316398847718601
78,-0.257003136659845
79,-0.3657307699670091
80,-0.33397977072354
81,-0.1945820778672959
82,0.1892384186065489
83,0.1891109907867652
84,0.1200057539624353
85,0.3464949793136767
86,0.3476509185250926
87,0.2729410597940044
88,0.2410017204680773
89,-0.1231056083822995
90,-0.034742369592336
91,-0.1224712692993105
92,-0.115206312735869
93,0.2024072359121167
94,0.3626905343896462
95,0.153509507372224
96,0.2050290934734064
97,0.2052365276536677
98,0.1816038392374296
99,0.1698367984679855
100,0.1556233181747391
101,0.1034674626209875
102,-0.253308827658072
103,-0.0827649205098965
104,-0.4184589063741884
105,-0.4253349029207147
106,-0.2920420318227321
107,-0.5576992918276249
108,-0.4660861998690923
109,-0.3613307838778096
110,-0.4290195352970579
111,-0.4097378378119677
112,-0.4241962513876179
113,-0.2778377818762328
114,-0.3541826780755187
115,-0.0926731827112047
116,-0.1690037069010475
117,-0.9026437100558452
118,-0.9441198486095967
119,-1.0447316039258177
120,-0.8862758447691426
121,-1.1432774201326712
122,-1.3827760383500234
123,-1.1454119857645777
124,-0.9309344023124824
125,-0.7194814561472854
126,-0.626260146193223
127,-1.0397667382092388
128,-0.9535817277116492
